"Ewe.ID","line","Parity","dbeg","dend","bcsinit"
31349,169,1,26,310,3.37728337471159
31349,169,2,401,519,2.94701215884053
31349,169,3,NA,NA,0
31350,170,1,26,196,2.82684491327335
31350,170,2,352,498,2.73783071114222
31350,170,3,NA,NA,0
31356,171,1,25,293,3.05732678468434
31356,171,2,426,565,2.92236814205339
31356,171,3,NA,NA,0
31357,172,1,NA,NA,0
31357,172,2,388,472,3.44920102036746
31357,172,3,NA,NA,0
31364,173,1,30,195,2.91653500651469
31364,173,2,394,569,2.90830360975509
31364,173,3,730,1030,3.28898395135786
31372,174,1,29,265,3.04898872663633
31372,174,2,NA,NA,0
31372,174,3,NA,NA,0
31374,175,1,0,254,2.69557277739855
31374,175,2,417,599,2.58139519172997
31374,175,3,788,961,2.65696476604367
31380,176,1,42,228,3.11750409467847
31380,176,2,415,589,3.10644809913123
31380,176,3,743,1030,3.35492774490608
31392,177,1,86,246,2.99487767822286
31392,177,2,383,512,2.69510364315616
31392,177,3,720,937,2.92593042764777
31394,178,1,0,291,3.0964916646518
31394,178,2,477,591,2.92511905211768
31394,178,3,NA,NA,0
31399,179,1,40,179,3.05293282730588
31399,179,2,NA,NA,0
31399,179,3,NA,NA,0
31406,180,1,NA,NA,0
31406,180,2,379,541,2.94561541573724
31406,180,3,807,941,3.00423083729302
31408,181,1,0,305,2.9013466457077
31408,181,2,393,510,2.60634480015212
31408,181,3,NA,NA,0
31414,182,1,19,137,3.26929979212573
31414,182,2,405,551,2.97228644005488
31414,182,3,NA,NA,0
31415,183,1,0,143,3.412700447355
31415,183,2,NA,NA,0
31415,183,3,NA,NA,0
31430,184,1,0,294,2.70151154450593
31430,184,2,447,636,2.69893115129349
31430,184,3,NA,NA,0
31438,185,1,30,118,2.75467487070454
31438,185,2,387,587,2.66606688115897
31438,185,3,813,918,2.90550942546466
31442,186,1,NA,NA,0
31442,186,2,401,538,3.45828135587733
31442,186,3,845,930,3.270564508657
31443,187,1,22,283,3.27335778071483
31443,187,2,409,505,3.05479306443046
31443,187,3,NA,NA,0
31446,188,1,0,261,2.90629521378409
31446,188,2,401,592,2.68062092811072
31446,188,3,NA,NA,0
31447,189,1,34,190,2.87373964364542
31447,189,2,406,575,2.84693817987067
31447,189,3,NA,NA,0
31448,190,1,0,248,3.00094630077425
31448,190,2,NA,NA,0
31448,190,3,NA,NA,0
31454,191,1,62,273,3.15354710915987
31454,191,2,451,586,2.87207206198351
31454,191,3,NA,NA,0
31458,192,1,67,223,2.6508329257004
31458,192,2,486,591,2.80273292608896
31458,192,3,NA,NA,0
31466,193,1,25,205,2.83569311158385
31466,193,2,394,526,2.8413359818628
31466,193,3,NA,NA,0
31471,194,1,NA,NA,0
31471,194,2,389,670,3.11666434808845
31471,194,3,763,894,2.90065102282288
31473,195,1,25,256,2.80268842362727
31473,195,2,424,610,2.60995234762188
31473,195,3,798,946,2.70537130816179
31474,196,1,18,115,2.72479860593441
31474,196,2,386,510,2.59301187946804
31474,196,3,NA,NA,0
31479,197,1,77,277,2.72080406321637
31479,197,2,432,606,2.72648769760171
31479,197,3,753,1030,2.65150734957874
31494,198,1,25,151,2.7861334734384
31494,198,2,NA,NA,0
31494,198,3,NA,NA,0
31500,199,1,NA,NA,0
31500,199,2,390,553,3.05316487101587
31500,199,3,728,868,2.80002566600133
31504,200,1,117,294,2.80505288248217
31504,200,2,404,512,2.70317389045963
31504,200,3,NA,NA,0
31520,201,1,35,281,3.30125894093316
31520,201,2,428,670,3.21373696278736
31520,201,3,NA,NA,0
31526,202,1,0,130,3.10577672144802
31526,202,2,NA,NA,0
31526,202,3,NA,NA,0
31534,203,1,36,280,3.27211168166484
31534,203,2,452,629,2.9162074925142
31534,203,3,800,956,3.124556037589
31538,204,1,76,260,2.72536367863262
31538,204,2,430,545,2.73092261038885
31538,204,3,NA,NA,0
31539,205,1,NA,NA,0
31539,205,2,439,598,2.80435498273706
31539,205,3,NA,NA,0
31540,206,1,NA,NA,0
31540,206,2,391,579,3.82927187604697
31540,206,3,NA,NA,0
31549,207,1,0,200,2.90248664293741
31549,207,2,NA,NA,0
31549,207,3,NA,NA,0
31563,208,1,29,330,3.25985505589129
31563,208,2,NA,NA,0
31563,208,3,NA,NA,0
31565,209,1,19,262,2.80547478924663
31565,209,2,NA,NA,0
31565,209,3,NA,NA,0
31575,211,1,31,252,2.9890373599502
31575,211,2,410,541,2.86348778506831
31575,211,3,847,1030,3.20176074808261
31578,212,1,NA,NA,0
31578,212,2,389,670,2.99670537290315
31578,212,3,779,1030,2.76227841011476
31580,213,1,NA,NA,0
31580,213,2,376,632,2.94380934849228
31580,213,3,774,860,2.95563215306577
31583,214,1,71,218,2.9978579462805
31583,214,2,400,588,3.10167515162901
31583,214,3,790,939,3.26211011111848
31585,215,1,41,310,2.67508267846264
31585,215,2,NA,NA,0
31585,215,3,NA,NA,0
31587,216,1,NA,NA,0
31587,216,2,392,600,2.64950307121998
