"Ewe";"BW.time";"BCS.time";"Year";"Parity";"Age_mating";"LS";"state.num";"day";"BW";"BCS";"BCSm";"BCS1"
51250;"BW-Sa";"BCS-Sa";2007;2;1;"3";"190";550;66200;2.6;3.5;2.6
51250;"BW-Sb";"BCS-Sb";2007;2;1;"3";"230";590;62800;2.43361155017208;3.5;NA
51251;"BW-Sa";"BCS-Sa";2007;2;1;"1";"190";550;64900;2.5;4;2.5
51251;"BW-Sb";"BCS-Sb";2007;2;1;"1";"230";590;63500;2.40176219107061;4;NA
51254;"BW-Pb";"BCS-Pb";2008;3;1;"3";"80";800;62300;2.6;3.5;2.6
51254;"BW-L";"BCS-L";2008;3;1;"3";"160";880;60300;2.5;3.5;2.5
51254;"BW-Sa";"BCS-Sa";2008;3;1;"3";"190";910;61800;2.5;3.5;2.5
51265;"BW-Sa";"BCS-Sa";2007;2;1;"3";"190";550;78800;2.5;4;2.5
51265;"BW-Sb";"BCS-Sb";2007;2;1;"3";"230";590;77400;2.42918410523155;4;NA
51266;"BW-W";"BCS-W";2006;1;1;"1";"250";250;45100;2.7;3.5;2.7
51270;"BW-Pb";"BCS-Pb";2008;3;1;"3";"80";800;69200;2.9;3.5;2.9
51270;"BW-L";"BCS-L";2008;3;1;"3";"160";880;65000;2.4;3.5;2.4
51270;"BW-Sa";"BCS-Sa";2008;3;1;"3";"190";910;58700;2.3;3.5;2.3
51271;"BW-W";"BCS-W";2006;1;1;"2";"250";250;49900;2.6;3.5;2.6
51273;"BW-Pb";"BCS-Pb";2008;3;1;"4";"80";800;71800;2.7;4;2.7
51273;"BW-L";"BCS-L";2008;3;1;"4";"160";880;63800;2.4;4;2.4
51273;"BW-Sa";"BCS-Sa";2008;3;1;"4";"190";910;66600;2.4;4;2.4
51285;"BW-Sa";"BCS-Sa";2007;2;1;"1";"190";550;68100;2.5;3.5;2.5
51285;"BW-Sb";"BCS-Sb";2007;2;1;"1";"230";590;64600;2.53179420317631;3.5;NA
51286;"BW-Sa";"BCS-Sa";2009;3;2;"4";"190";910;56500;2.2;3.5;2.2
51286;"BW-Sb";"BCS-Sb";2009;3;2;"4";"230";950;NA;2.4;3.5;2.4
51289;"BW-Sa";"BCS-Sa";2007;2;1;"2";"190";550;52700;2.3;3.5;2.3
51289;"BW-Sb";"BCS-Sb";2007;2;1;"2";"230";590;51000;2.33715626692336;3.5;NA
51293;"BW-W";"BCS-W";2006;1;1;"1";"250";250;61900;3;3.5;3
51295;"BW-Pb";"BCS-Pb";2008;3;1;"4";"80";800;63600;3;3.5;3
