"ID","kb1","kb2","kb3","kp1","kp2","kp3","tb1","tb2","tb3","te1","te2","te3","res","Group","BCSm"
81365,0.0022521792889702,NA,NA,0.00414638506644812,NA,NA,6,NA,NA,287,NA,NA,0.153624316769474,"G1",3.5
81370,0.00334515799552743,0.00379318462803477,0.00441397421608074,0.0051369859656796,0.00528320158622527,0.00398709109401153,0,486,735,258,617,998,0.83092860909939,"G123",3.5
81372,NA,0.0019987977145994,NA,NA,0.00359933927219806,NA,NA,433,NA,NA,564,NA,0.149536720943901,"G2",3.5
81382,0.00413580412535891,0.00266883048918322,0.00279218354989078,0.00645255571743801,0.00655557215557841,0.00582992746128506,15,363,844,245,525,988,0.691141035161774,"G123",3.5
81387,0.00314349934316975,0.00156469189572994,NA,0.00301964396380515,0.00390204273443505,NA,24,422,NA,252,548,NA,0.451952930295984,"G12",3.5
81390,0.00493076955268258,0.00314629266795644,0.00290036425328912,0.00419115029728057,0.00442984671377758,0.00342152557248187,0,360,772,247,594,955,0.666372229310365,"G123",3.5
81410,0.00287605050942413,0.00404867196681023,0.00230262647761345,0.00405010762561792,0.00562180432585338,0.00490614499372249,15,453,712,198,592,848,0.698658823269806,"G123",3.5
81411,0.00204819697951487,NA,NA,0.00614224054725635,NA,NA,75,NA,NA,214,NA,NA,0.691688588294667,"G1",4
81414,0.00547313340539413,0.00386092441524934,0.00243888769504837,0.0064035306787289,0.00643254612792807,0.00455818261243871,78,359,761,236,480,973,0.664196880851837,"G123",3.5
81417,0.00326207068636665,0.00200464704742862,NA,0.00413827319020272,0.00413549220883562,NA,0,360,NA,228,535,NA,0.50038980385032,"G12",3.5
81418,0.00256790880182349,NA,NA,0.00263495767511629,NA,NA,35,NA,NA,282,NA,NA,0.468338209125572,"G1",3.5
81420,0.00396314737401402,0.00126183035828408,NA,0.0054387903870377,0.0033378939618191,NA,60,356,NA,222,460,NA,0.549037682274025,"G12",3.5
81435,0.00382537700418853,NA,NA,0.00294410716700145,NA,NA,0,NA,NA,274,NA,NA,0.218800677475625,"G1",3.5
81439,0.0026311122618539,0.00209807491749978,NA,0.00329813749588941,0.00333172915808477,NA,16,460,NA,239,634,NA,0.441648388084892,"G12",3.5
81447,0.00462603416865387,0.00228515297707012,NA,0.00445863373591247,0.00452472894725565,NA,78,382,NA,236,574,NA,0.400807399121263,"G12",3.5
81450,0.00430203877419541,0.00297590323457329,0.00299672320157481,0.00649853084297307,0.0065150473924057,0.00585597439657965,0,363,745,240,530,930,0.687358237819848,"G123",3.5
81451,NA,0.00200367100536626,NA,NA,0.00314249463331798,NA,NA,432,NA,NA,583,NA,0.258062791228499,"G2",3.5
81456,NA,0.00326794452509356,0.0035765020006497,NA,0.00411500022230195,0.0030145346695707,NA,420,725,NA,609,994,0.641535942099404,"G23",3.5
81465,0.00204969692258296,0.00198634353864407,NA,0.00424394071175634,0.0042912725923629,NA,38,441,NA,194,562,NA,0.445260725255025,"G12",3.5
81481,0.00451555179917981,0.00302108615318164,0.00326592117459963,0.00610145542867234,0.00621148601099109,0.0050176802765515,25,358,767,234,517,929,0.637845715588558,"G123",3.5
81497,NA,NA,0.00213102828014984,NA,NA,0.00453004006888233,NA,NA,749,NA,NA,932,0.366911968839116,"G3",3.5
81499,0.00394138791966872,0.0038076357142106,0.00324140871688134,0.00663358110608069,0.00548466580483523,0.00423025025749962,80,382,795,218,587,1008,0.703228458244106,"G123",3.5
81502,NA,0.00465099067212956,0.00307830674814105,NA,0.00759661695403896,0.00519546662571493,NA,436,759,NA,554,909,0.435153697557459,"G23",3.5
81516,0.00321034552665827,0.00211265363444851,NA,0.0028551548466225,0.00359578987595091,NA,0,448,NA,310,556,NA,0.563345289636255,"G12",3.5
81521,0.00430496934140161,0.00384108897856795,0.00309271611106261,0.00663952570087996,0.0057238478407399,0.00509944679041474,88,382,759,238,568,920,0.612790139212235,"G123",3.5
81535,0.00417532268429622,0.00316713436098472,0.00305008225125943,0.00576988376979504,0.00531795911057428,0.00469299996582255,0,366,755,225,554,956,0.800222743640077,"G123",3.5
81537,0.00488194782124812,0.00341334371880471,0.00321982779668678,0.00732166685939776,0.0065438213977375,0.00598551137356969,74,360,761,229,528,939,0.624053386222499,"G123",3.5
81538,0.00207840006664894,0.00203836279796481,NA,0.00412292790510263,0.00408606929817074,NA,0,401,NA,127,545,NA,0.306033773283575,"G12",3.5
81545,0.00361529479651406,0.00541959316964846,0.00110878314973304,0.00816341496785472,0.00796106487125466,0.0055179825027398,0,361,720,205,670,931,0.939401066295862,"G123",4
81548,0.00501258159361455,0.00262709165086814,0.00267005165558675,0.00545785084928656,0.00537162816621271,0.00518611592721628,83,348,771,212,506,923,0.673490417222799,"G123",3.5
81555,NA,0.00318082239445102,0.00285134923309941,NA,0.00333081424630755,0.0032125703059759,NA,372,727,NA,612,877,0.442766324724521,"G23",3.5
81559,0.00495733792777865,0.00239000145576152,0.00227582455079001,0.00427011432371694,0.00456245371245082,0.00417860376582773,0,364,769,255,602,951,0.671754506385085,"G123",3.5
81576,0.00153567445972243,NA,NA,0.00396727653501203,NA,NA,82,NA,NA,201,NA,NA,0.379204490336583,"G1",3.5
81578,0.00360689651898433,0.00275969426128819,NA,0.00408695709339154,0.00379304719213448,NA,69,359,NA,228,690,NA,0.471873112111448,"G12",3.5
